Matrix, cp-rank, n²/4, ξ₂, ξ₂ᵩ, ξ₂ᵩₔ, ξ₂ᵩ + xᵢxⱼ,   
6 × 6 Rᶜᵖ_4 , 4, 9.0, 1.8214590636331276, 1.821490516053739, 3.99999739082922, 3.999999251791878 
6 × 6 Rᶜᵖ_6 , 6, 9.0, 1.9924782675900983, 2.0288025689482683, 5.999832864093017, 5.999600155275474 
6 × 6 Rᶜᵖ_9 , 9, 9.0, 1.8131268538758534, 1.8557191927660976, 5.999999998475679, 5.999985513886616 
6 × 6 Rᶜᵖ_4 , 4, 9.0, 1.9513039889874257, 1.9706337328006454, 3.999997559069545, 3.9999997151187565 
6 × 6 Rᶜᵖ_11 , 11, 9.0, 1.6832447154796821, 1.71594694897048, 5.999999999547188, 5.999999996061264 
7 × 7 Rᶜᵖ_5 , 5, 12.0, 1.4339371301600756, 1.4351422435395977, 4.999999307538825, 4.999989773497624 
7 × 7 Rᶜᵖ_11 , 11, 12.0, 1.7889516287523317, 1.8410500262089198, 6.999959447705367, 6.999991954062823 
7 × 7 Rᶜᵖ_9 , 9, 12.0, 1.7213676798583848, 1.7669033410904238, 6.999999717394317, 6.9999930355801645 
7 × 7 Rᶜᵖ_10 , 10, 12.0, 1.602832190389769, 1.637280557690765, 6.999999456534352, 6.999998209183744 
7 × 7 Rᶜᵖ_8 , 8, 12.0, 1.8091663583980082, 1.8242729431690536, 6.999997701880259, 6.999999978232785 
8 × 8 Rᶜᵖ_4 , 4, 16.0, 1.9699898043581339, 2.0017265096130794, 3.9999999984096446, 4.000000000993344 
8 × 8 Rᶜᵖ_6 , 6, 16.0, 1.8215370666050497, 1.8481934767685833, 5.9999985173064925, 5.999984611349087 
8 × 8 Rᶜᵖ_9 , 9, 16.0, 1.774645265219048, 1.8097846913945912, 7.999960609615391, 7.999972874229731 
8 × 8 Rᶜᵖ_7 , 7, 16.0, 1.6686381987444587, 1.704236302768952, 6.993816440505391, 6.991156766863072 
8 × 8 Rᶜᵖ_6 , 6, 16.0, 1.7013505787400258, 1.7241340514847399, 5.999999302148113, 5.9999179814501264 
9 × 9 Rᶜᵖ_9 , 9, 20.0, 1.9526134371784916, 2.040044041667621, 8.5269730225309, 8.692812673540827 
9 × 9 Rᶜᵖ_8 , 8, 20.0, 1.8780739034596097, 1.9068071335900776, 7.999999361469436, 7.999999725393976 
9 × 9 Rᶜᵖ_10 , 10, 20.0, 1.7129977265732328, 1.7194467018109114, 8.996251927993638, 8.994782535330813 
9 × 9 Rᶜᵖ_11 , 11, 20.0, 2.0127017555714604, 2.0608840968104842, 8.999848473604166, 8.999971336517627 
9 × 9 Rᶜᵖ_11 , 11, 20.0, 1.7329755496812818, 1.7856721813181828, 8.999992518004444, 8.999544319363704 
6 Rᶜᵖ_30 , 30, 9.0, 1.7029026089663082, 1.7770719015708658, 5.999999999235738, 5.999997041813113 
6 Rᶜᵖ_23 , 23, 9.0, 1.641446003398107, 1.6905221378479143, 5.99999978019165, 5.99999999252682 
6 Rᶜᵖ_37 , 37, 9.0, 1.6275507547460515, 1.6684719692887295, 5.99999997554698, 5.999999980555297 
6 Rᶜᵖ_39 , 39, 9.0, 1.5239173804655837, 1.5475659176676755, 5.999992346570888, 5.999999994381413 
6 Rᶜᵖ_28 , 28, 9.0, 1.6047843527274626, 1.658295023547034, 5.999999998100966, 5.999999921413028 
7 Rᶜᵖ_11 , 11, 12.0, 1.6060997405782504, 1.611368085331355, 6.999999047282238, 6.999999887729849 
7 Rᶜᵖ_10 , 10, 12.0, 1.6864214848294594, 1.7117468026968137, 6.999988313967047, 6.999999299483332 
7 Rᶜᵖ_10 , 10, 12.0, 1.7341800784078456, 1.7530180036425458, 6.999967340011219, 6.999904559534834 
7 Rᶜᵖ_13 , 13, 12.0, 1.6318557459968823, 1.6597298112911782, 6.999995507439244, 6.999987839362467 
7 Rᶜᵖ_30 , 30, 12.0, 1.5720202701605264, 1.6076725627028432, 6.999999402417806, 6.9999976940008395 
8 Rᶜᵖ_23 , 23, 16.0, 1.740636847742801, 1.8016571625102826, 7.99999460714525, 7.999999984499932 
8 Rᶜᵖ_11 , 11, 16.0, 1.8234634211361012, 1.8942034132399503, 7.999999899351148, 7.999999770340436 
8 Rᶜᵖ_32 , 32, 16.0, 1.6808769692542362, 1.7220961510499264, 7.999999999499615, 7.999999036998913 
8 Rᶜᵖ_38 , 38, 16.0, 1.6444585498155113, 1.7081196225146105, 7.999999997545376, 7.999999860777483 
8 Rᶜᵖ_24 , 24, 16.0, 1.7180280768432137, 1.78342182112047, 7.999999991523598, 7.999999872323696 
9 Rᶜᵖ_39 , 39, 20.0, 1.657346018643436, 1.7008410694307958, 8.999992544655107, 8.999999551328429 
9 Rᶜᵖ_22 , 22, 20.0, 1.8767971128176082, 1.9156896104237207, 8.999917717350165, 8.999966557125417 
9 Rᶜᵖ_16 , 16, 20.0, 1.6378471191756492, 1.6531418584536373, 8.999969252912418, 8.999975060007818 
9 Rᶜᵖ_30 , 30, 20.0, 1.7917801019323742, 1.8434782622504413, 8.999992355174102, 8.999999932993399 
9 Rᶜᵖ_10 , 10, 20.0, 1.9163438055956374, 1.9726061667363741, 8.997973543949707, 8.985247924095503 
2^3 VRᶜᵖ_1 , 1, 16.0, 1.0000000031502598, 1.0000000000044813, 1.0000000006509835, 1.0000000259516644 
2^3 VRᶜᵖ_6 , 6, 16.0, 1.5136627684429638, 1.5153717399924649, 5.099596259943081, 5.132900951852474 
